Handle;Title;Body (HTML);Included in Online Store;Image Src;Option1 Name;Option1 Value;Option2 Name;Option2 Value;Option3 Name;Option3 Value;Variant Price;Variant Compare At Price;Track Inventory;;;;;Allow Out of Stock Purchases;Available Quantity;SKU;Weight Value;Weight Unit;Dimension Length;Dimension Width;Dimension Height;Dimension Unit;Product Label Enable;Label Title;Label Start Date;Label End Date;SEO Title;SEO Description
product-code-8448;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/8448_6466_Mothers_Day_Celebration_and_Yellow_Bouquet_vase_custom_floral.webp;;Single with Janes Garden Vase;;;;;$171.97;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Celebration & Yellow Bouquet;You and mom may not always see eye to eye, but that's not stopping you from sending a sweet Mother's Day gift, right? Choose one of two vase designs to com
product-code-8448;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/8448_6466_Mothers_Day_Celebration_and_Yellow_Bouquet_vase_custom_mosaic.webp;;Single with Modern Mosaic Vase;;;;;$171.97;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Celebration & Yellow Bouquet;You and mom may not always see eye to eye, but that's not stopping you from sending a sweet Mother's Day gift, right? Choose one of two vase designs to com
product-code-8448;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/8448_6466_Mothers_Day_Celebration_and_Yellow_Bouquet_vase_trumpet.webp;;Single with Clear Vase;;;;;$164.97;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother's Day Celebration & Yellow Bouquet;You and mom may not always see eye to eye, but that's not stopping you from sending a sweet Mother's Day gift, right? Choose one of two vase designs to com
product-code-9006;Mother’s Day Centerpiece Arrangement;"Not all heroes wear capes. (Moms, we’re looking at you.) But all of them deserve a sweet reward, and this fruit arrangement with either ""mom"" or ""mama"" in pineapple letters sure does the trick. By offering this grand gesture of affection from near or far, you’ll be the one saving the day.    Arreglo de mesa para el día de las madres      No todos los héroes llevan capa. (Mamás esto va para ustedes) porque todas se merecen una dulce recompensa, y éste arreglo de frutas con “mamá” o “mami” con letras hechas en piña es perfecto para la ocasión. Con este gran gesto de cariño, ya sea estando cerca o en la distancia ¡tú serás quien haga el día especial!";TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9006_6894_Mothers_Day_Centerpiece_Arrangement_MOM_s.webp;Option;MOM;;;;;$139.99;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother’s Day Centerpiece Arrangement;"Not all heroes wear capes. (Moms, we’re looking at you.) But all of them deserve a sweet reward, and this fruit arrangement with either ""mom"" or ""mama"" in "
product-code-9006;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9006_6894_Mothers_Day_Centerpiece_Arrangement_MAMA_s.webp;;MAMA;;;;;$139.99;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother’s Day Centerpiece Arrangement;"Not all heroes wear capes. (Moms, we’re looking at you.) But all of them deserve a sweet reward, and this fruit arrangement with either ""mom"" or ""mama"" in "
product-code-9008;Mom Deserves it Dessert Board;Talk about a nice serve: An array of desserts arrives on an artist-designed melamine board. Once all the delicious goodies are savored, Mom will have a keepsake for the kitchen. Win-win. 		    Small dessert board serves 2 to 4 people.   Medium dessert board serves 6 to 10 people.   Large dessert board serves 15+ people.;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9008_6896_Mom_Deserves_It_Dessert_Board_12in_over_floral_s.webp;Option;Janes Garden;;;;;$129.99;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mom Deserves it Dessert Board;Talk about a nice serve: An array of desserts arrives on an artist-designed melamine board. Once all the delicious goodies are savored, Mom will have a kee
product-code-9008;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9008_6896_Mom_Deserves_It_Dessert_Board_12in_over_diamond_s.webp;;Modern Mosaic;;;;;$129.99;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mom Deserves it Dessert Board;Talk about a nice serve: An array of desserts arrives on an artist-designed melamine board. Once all the delicious goodies are savored, Mom will have a kee
product-code-9008;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9008_6896_Mom_Deserves_It_Dessert_Board_9in_over_s.webp;;Small;;;;;$69.99;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mom Deserves it Dessert Board;Talk about a nice serve: An array of desserts arrives on an artist-designed melamine board. Once all the delicious goodies are savored, Mom will have a kee
product-code-9010;#1 Mom Arrangement, Truffles, & Balloon Gift Set;"Need a gift that screams, ""I LOVE YOU MOM!"" without actually screaming at her? We've got you covered. Say hey to a gift that's fresh, sweet, and conveys sweet, sweet appreciation.";TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9010_6898_No1_Mom_Fruit_Arrangement_Truffles_and_Balloon_Gift_Set.webp;Option;One Size;;;;;$114.97;;TRUE;;;;;FALSE;150;;;;;;;;;;;;#1 Mom Arrangement, Truffles, & Balloon Gift Set;"Need a gift that screams, ""I LOVE YOU MOM!"" without actually screaming at her? We've got you covered. Say hey to a gift that's fresh, sweet, and conveys sw"
product-code-9011;Mother’s Day Premium Chocolate & Strawberry Gift Set;If there's anything we know about moms, it's that they LOVE chocolate- and you... of course, but mainly chocolate. Mom will enjoy a 12 piece assortment of chocolate truffles with our iconic dipped strawberries, trust us.;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9011_6899_Mothers_Day_Premium_Chocolate_and_Strawberry_Gift_Set.webp;Option;One Size;;;;;$76.98;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother’s Day Premium Chocolate & Strawberry Gift Set;If there's anything we know about moms, it's that they LOVE chocolate- and you... of course, but mainly chocolate. Mom will enjoy a 12 piece assortment of
product-code-9012;Mother’s Day Cheesecake Delights Gift Set;Finding a gift for the amazing women in our lives isn't easy. Trust us, we know. This Mother's Day, send mom on a flavor-filled ride with our newest dessert box, hand-crafted to make her smile.;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9012_6900_Mothers_Day_Cheesecake_Delights_Gift_Set.webp;Option;One Size;;;;;$74.98;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother’s Day Cheesecake Delights Gift Set;Finding a gift for the amazing women in our lives isn't easy. Trust us, we know. This Mother's Day, send mom on a flavor-filled ride with our newest desser
product-code-9014;Mom's Chocolate-Covered Strawberries Platter & Balloons;"The easiest thing you'll do all year? Throw your mom a party she deserves, and order her favorite treats. Nothing says, ""I love you and appreciate you"" like balloons, hand-dipped berries, and sprinkles.";TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9014_6902_Moms_Chocolate_Covered_Strawberries_Platter_and_Balloon_Bouquet.webp;Option;One Size;;;;;$109.98;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mom's Chocolate-Covered Strawberries Platter & Balloons;"The easiest thing you'll do all year? Throw your mom a party she deserves, and order her favorite treats. Nothing says, ""I love you and appreciate you"" lik"
product-code-9017;Mother’s Day Deluxe Celebration & Balloons;On a day like Mother's Day, the perfect words can be hard to come by. But if there's anything our moms have taught us, it's about how you make someone feel that matters most. Show your mom how much you care, by giving a gift that says everything you can't.;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9017_6905_Mothers_Day_Deluxe_Celebration_and_Balloon_Bouquet_A.webp;Option;Janes Garden;;;;;$159.98;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother’s Day Deluxe Celebration & Balloons;On a day like Mother's Day, the perfect words can be hard to come by. But if there's anything our moms have taught us, it's about how you make someone feel
product-code-9017;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9017_6905_Mothers_Day_Deluxe_Celebration_and_Balloon_Bouquet_B.webp;;Modern Mosaic;;;;;$159.98;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother’s Day Deluxe Celebration & Balloons;On a day like Mother's Day, the perfect words can be hard to come by. But if there's anything our moms have taught us, it's about how you make someone feel
product-code-9020;Mother’s Day Premium Bouquet & Strawberry Platter;Make a statement this Mother's Day with our Mother’s Day Premium Bouquet & Strawberry Platter. The statement in question? That you're her favorite kid. We're pretty sure this gift features all mom's favorite shades. Include a vase to complete their gift.;TRUE;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9020_6906_Mother_s_Day_Premium_Bouquet_and_Strawberry_Platter_vase_pitcher.webp;Option;Single with Janes Garden Pitcher;;;;;$189.97;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother’s Day Premium Bouquet & Strawberry Platter;Make a statement this Mother's Day with our Mother’s Day Premium Bouquet & Strawberry Platter. The statement in question? That you're her favorite kid. We'
product-code-9020;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9020_6906_Mother_s_Day_Premium_Bouquet_and_Strawberry_Platter_vase_custom_floral.webp;;Single with Janes Garden Vase;;;;;$186.97;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother’s Day Premium Bouquet & Strawberry Platter;Make a statement this Mother's Day with our Mother’s Day Premium Bouquet & Strawberry Platter. The statement in question? That you're her favorite kid. We'
product-code-9020;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9020_6906_Mother_s_Day_Premium_Bouquet_and_Strawberry_Platter_vase_custom_mosaic.webp;;Single with Modern Mosaic Vase;;;;;$186.97;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother’s Day Premium Bouquet & Strawberry Platter;Make a statement this Mother's Day with our Mother’s Day Premium Bouquet & Strawberry Platter. The statement in question? That you're her favorite kid. We'
product-code-9020;;;;https://rescloud.ediblearrangements.com/image/private/t_EA_PDP/Creative-Marketing/Products/SKU/9020_6906_Mother_s_Day_Premium_Bouquet_and_Strawberry_Platter_angled.webp;;Single Bouquet;;;;;$164.98;;TRUE;;;;;FALSE;150;;;;;;;;;;;;Mother’s Day Premium Bouquet & Strawberry Platter;Make a statement this Mother's Day with our Mother’s Day Premium Bouquet & Strawberry Platter. The statement in question? That you're her favorite kid. We'
